Make/Model,Lenght (inches),Width (inches),Height (inhces),Wheelbase (inches),Curb Weight (pounds)Willys Jeep CJ,['130'],['59'],['69', '4'],['80'],['2', '137'],
Land Rover Series I,['132'],['61'],['73', '5'],['80', '88'],['2', '594'],
Toyota Land Cruiser,['151'],['65', '5'],['77'],['90'],['3262'],
Jeep Wrangler,[],[],[],[],[],
Toyota Land Cruiser,['166', '8'],['73', '8'],['73', '6'],['96', '8'],['3', '948'],
Range Rover,['196', '5'],['78', '0'],['76', '6', '77', '6'],['112', '2'],['5', '302', '6', '041'],
Chevrolet Suburban,['196', '8'],['78', '1'],['72', '2'],['115', '0'],['4', '762', '5', '203'],
Mercedes G-Class,['225', '7'],['81', '1'],['75', '7'],['134', '1'],['5', '785', '5', '993'],
